id,title,author,type,link,rating,summary,reviewDate,categories,tweetEmbedHtml
hard-drive-bill-gates,Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace,Book,https://www.amazon.com/Hard-Drive-Making-Microsoft-Empire/dp/0471941980,5,Incredible. Read twice. Wow Bill Gates used to be a killer.,2025-11-15,Companies|People,
zero-to-one-peter-thiel,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,Book,https://www.amazon.com/Zero-One-Notes-Startups-Future/dp/0804139296,5,The classic. Read twice. Very dense on high quality ideas.,2025-10-15,Companies,
the-undoing-project-michael-lewis,The Undoing Project: A Friendship That Changed Our Minds,Michael Lewis,Book,https://www.amazon.com/Undoing-Project-Friendship-Changed-Minds/dp/0393354776/ref=sr_1_1?crid=2GXDAVP2RLYJX&dib=eyJ2IjoiMSJ9.2jSN5mIP4KQ__BcsQkrtFMip2U40TJTrtynUhKQLKBEMJjcioCThxhtXkguaEpDlogf4xBlxdoRd_0FMluUtj9bkTnxjmlvdCYwj8-wlI9SKw1MzPgV7_ms42RTM2ePPbRSnepQOAMyZWl4p4O_h6o4AR8iD5sUMlGKrOAAlZASCb-_DfaEyX-SXfii7VXlzAUtpT-B9J9UE8Tmpq3QfUBphgJBf53dUjahLRnzPDgI.-x8vR8PQIZ3VWu-FcD8jorRhlKaXN-2zy-0XjFXacW4&dib_tag=se&keywords=The+Undoing+Project&qid=1763265452&s=books&sprefix=the+undoing+project%2Cstripbooks%2C201&sr=1-1,4,Such an interesting story of two super interesting & smart people. Easy read.,2025-09-15,Misc.,
Money-Jacob-Goldstein,Money: The True Story of a Made-Up Thing,Jacob Goldstein,Book,https://www.amazon.com/Money-True-Story-Made-Up-Thing/dp/031641719X,3,Solid easy read. He dismisses bitcoin yet tells a storey that makes the case for bitcoin throughout the book.,2025-08-15,Economics,
Dune-Frank-Herbert,Dune,Frank Herbert,Book,https://www.amazon.com/Dune-Chronicles-Book-1/dp/0441013597/ref=sr_1_4?crid=R14L383HN3JP&dib=eyJ2IjoiMSJ9.tzsUUQm-lV61XLVgCxntIac83CU-firU0g16uXdnMXbHng9AduSX2qav780P_tsF0uwJt31s26aVIKvyb66XG2tUeN-mc-1cCz-SjuwpJi6S_ptIm1Dfy_z9K_q28QvQxYN8E9lOdP6A5faOXYJlPTEFG_LMG-CscLXo-lT2zThVSKTkctBC6HLwP_PAPlSnkwwEm1jcKfZgYC39_eva9Vqtv9PNz6UHjqw7qgC9FhU.KTiT-6hgXmcWLSW6Fj7HU8cXzeh46waj-PAziwk8f5A&dib_tag=se&keywords=Dune+-+Frank+Herbert&qid=1763265916&s=books&sprefix=%2Cstripbooks%2C219&sr=1-4/,3,"Took a chance reading a fiction book for the first time in a while. This one was freaky, weird, but interesting and captivating at moments.",2025-05-02,Misc.,
boomerang-michael-lewis,Boomerang: Travels in the New Third World,Michael Lewis,Book,https://www.amazon.com/Boomerang-Travels-New-Third-World/dp/0393343448/ref=sr_1_1?crid=FJLGMWQB535V&dib=eyJ2IjoiMSJ9.J0DSVhIN4LRHyQvEboPpgsY-nWO8Ah5YjS0PUnpwa6N-eakuxhVCRaE9AClRf899X7aoErYsC-5e0LtJ_txKAug51V4m3wl7vOrnp9WaUUHkkb2b-x_x9E_yrZCuLPrkBO90H3_x0M8WwGsXozYocheNaYg8a5P4J95rtwA6wpFAfNlRQ0YMMTCKtI7O0OqAJCbJ0BD-BKtAanJ4p-u1R3AOWr2Kom5jufmNsU3DXHk.PXlplbLYPSpRO2jT2jGRhobo6o-Du1FON4yQlSgD00o&dib_tag=se&keywords=boomerang+michael+lewis&qid=1763266138&s=books&sprefix=boomerang+michael+lew%2Cstripbooks%2C164&sr=1-1,4,Great easy read. Get a first hand account of what a bubble actually feels like.,2025-04-15,Economics,
barbarian-days-william-finnegan,Barbarian Days: A Surfing Life,William Finnegan,Book,https://www.amazon.com/Barbarian-Days-Surfing-William-Finnegan/dp/1594203474/ref=sr_1_1?crid=3HSJQWF29S7BI&dib=eyJ2IjoiMSJ9.9h9Oe2YWke4I30QDHAiqYtQUkLJPzzutPdX8fO9oRyr948AIaslFtTEy4Llb42JXxwesOal0zMqmibm57rUL5n-RsqgjGbb4tysiQfzjziEGJoMYOKNXodpk0qTyuYHKN3m2HExUVMTOgZbCGGvXZEqx-l7iivvcuxaWzmKJbuaqTqlJGFPvSRQpOpWFgu2BEBoOMLDzRWlrtrD0G-Z6hRH2_Ra5t8dIlfwaAjo2ubI.GB2of-GIcgCzJuBa4h7FcZGHUQS8p91nxI9SsXUHKmg&dib_tag=se&keywords=Barbarian+Days%2C+A+Surfing+LIfe&qid=1763266504&s=books&sprefix=boomerang+michael+lewis%2Cstripbooks%2C196&sr=1-1,5,"Not the typical book I read, but this one was amazing. Makes you want to drop everything and travel the world surfing.",2025-03-15,Misc.,
elon-musk-walter-isaacson,Elon Musk,Walter Isaacson,Book,https://www.amazon.com/Elon-Musk-Walter-Isaacson/dp/1982181281/ref=sr_1_1?crid=3R73PJJZL6TTR&dib=eyJ2IjoiMSJ9.fVWZyFVsrTNABuHm9xwIj2n_OBC3Np7P8H845VawTGZeKU9PIpJUu-HG2y7sQPwBUBgIgLG7iIYuTlXQ0eGEOU4hdIAZiLjfxigdiyh7Bt-r8p_sRghowzuFalSi797RSAXEh9vc5hfbDIvmir0UuAE7aL-VGY_M_keDBk8xqKuh7Hd0uW4dxEt2VUBPY6f0TYr05l1c4gpn04f5LITFFAyjyx7wAEJo6z8Y6JIWXTo.52xbhRvZ7DoVGpb9lOQee9K9vp95GqZr_srEDpfihx4&dib_tag=se&keywords=Elon+Musk+-+walter+isaacson&qid=1763266637&s=books&sprefix=elon+musk+-+walter+isaacson%2Cstripbooks%2C171&sr=1-1/,5,All time favorite. Read twice. Can't get enough of the stories from his life and companies. Extremely inspiring.,2025-02-15,People,
steve-jobs-walter-isaacson,Steve Jobs,Walter Isaacson,Book,https://www.amazon.com/Steve-Jobs-Walter-Isaacson/dp/1451648537/ref=sr_1_1?crid=36FZWVTNX85MC&dib=eyJ2IjoiMSJ9.k_xqKlDXQ2Nf4zaCq1rU5OErHiQ2epCm2GV9DJg7CPYUPkBvP8S4nz8tx1ApKfhzzLqzvj6u8e6UEmbSVYLG-CQZseGbp63FXMxcljWMUSO_Dc8xS6yWuDZqkuZ52AMZG_8ofNHvPxEz52sRWmZYfSfe-UfsYzBp3PFew8LjNXVQbhV2gqw109q1YCu6yXlPNH9Sh6NnbJjZp5hM0HltbPFkJZzkvdczkTIwRTe19uw.2wuApoK-wzUy6eaKK1wMNCOectUtxdRa1wDEh4TIDcY&dib_tag=se&keywords=steve+jobs+-+walter+isaacson&qid=1763266730&s=books&sprefix=steve+jo+-+walter+isaacson%2Cstripbooks%2C163&sr=1-1,5,All time favorite. Read twice. Such a unique person who was so prominent in such a momentous time.,2025-01-15,People,
what-has-government-done-to-our-money-rothbard,What Has Government Done to Our Money?,Murray Rothbard,Book,https://www.amazon.com/What-Has-Government-Done-Money/dp/1610166450/ref=sr_1_1?crid=2AUTOBQFNCVY6&dib=eyJ2IjoiMSJ9.8xy0URFkxUqu1GZYChTlakr8OrqWGlbPUJOwXUESOdUKDN64HQdlxCdsvr0kkJop_FG2KYc1tqQbtTVLgsYfD2a7fwdT-aNv9gnS5bz91Ljeu6B8r_W5kPs3tCPKS85xq5brKXMFn8m9Opk2FEIfIEyCPAH4yQI1Yac7Xpa1UPQ_BnbSKcpkjP4RnR2Ksr30nah_0w_DW2lWIIfqpo1ytX0AyFtx469zdH0HjmUltv0.NNO_Y04b08eHtN33C7sJb3ocekhRhtwZXvqXQakPBXc&dib_tag=se&keywords=What+Has+Government+Done+to+Our+Money&qid=1763267185&s=books&sprefix=what+has+government+done+to+our+money%2Cstripbooks%2C179&sr=1-1,3,Read to understand why fiat money is broken.,2025-01-15,Economics,
